image_name,noisy_title,full_instructions,summary
img1.jpg,cheesy bake,"1. Preheat oven to 350°F (175°C).
2. In a large bowl, stir together 4 cups frozen hash browns, 1 can (10¾ oz) cream of chicken soup, ½ cup sour cream, and 2 cups shredded cheddar cheese until evenly combined.
3. Transfer mixture to a greased 9×13″ baking dish and smooth the top.
4. In a small bowl, combine 1 stick melted butter with 1½ cups crushed cornflakes; sprinkle evenly over casserole.
5. Bake 45 minutes until bubbly and golden on top. Let rest 5 minutes before serving.","Mix hash browns, soup, sour cream, and cheese; top with buttery cornflake crumbs and bake at 350°F for 45 minutes until golden. Rest 5 minutes before serving."
img2.jpg,noodly thing,"1. Bring a large pot of salted water to a boil; cook 12 oz spaghetti until al dente, about 8 minutes, then drain, reserving ¼ cup pasta water.
2. In a skillet over medium heat, warm ¼ cup olive oil and add 4 cloves sliced garlic and ½ tsp red pepper flakes; sauté until garlic is light golden, about 1 minute.
3. Add cooked spaghetti to the skillet, tossing to coat; if dry, splash in reserved pasta water.
4. Season with salt to taste, stir in 2 Tbsp chopped parsley, and sprinkle with grated Parmesan before serving.","Sauté garlic and chili in olive oil, then toss in drained spaghetti with a little pasta water. Finish with parsley and Parmesan for a simple, flavorful pasta dish."
img3.jpg,spicy sunrise stew,"1. Heat 2 Tbsp oil in a Dutch oven over medium-high; season 1½ lbs chicken pieces with salt and pepper and brown in batches, about 4 minutes per side; remove and set aside.
2. Add 1 Tbsp oil, then sauté 1 chopped onion, 2 min; stir in 3 cloves minced garlic, 1 tsp grated ginger, and cook 1 min more.
3. Stir in 2 diced tomatoes, 1 chopped bell pepper, 1 Tbsp chili powder, 1 tsp paprika, and return chicken to pot.
4. Pour in 3 cups chicken broth, bring to a boil, reduce heat, and simmer 20 minutes until sauce thickens.
5. Stir in 1 cup frozen peas during last 5 minutes, adjust seasoning, and serve hot.","Brown chicken, then sauté aromatics and spices; add tomatoes, peppers, and broth, simmer 20 minutes until thick. Stir in peas, adjust seasoning, and enjoy the hearty stew."
img4.jpg,sweet swirl,"1. Preheat oven to 350°F (175°C); grease and flour a 9×5″ loaf pan.
2. In a bowl, whisk 2 cups flour, 1 tsp baking powder, and ½ tsp salt.
3. In another bowl, cream ½ cup butter with 1 cup sugar until light, then beat in 2 eggs one at a time, followed by 1 tsp vanilla.
4. Alternate folding in the dry ingredients and ½ cup milk until just combined.
5. Pour half the batter into pan, sprinkle evenly with 2 Tbsp cinnamon-sugar, then top with remaining batter.
6. Bake 40 minutes until a toothpick comes out clean; cool before slicing.","Combine dry mix and creamed butter-sugar, fold in eggs and milk, then layer batter with cinnamon-sugar swirl. Bake at 350°F for 40 minutes until a toothpick comes out clean."
img5.jpg,crunchy planks,"1. Preheat oven to 400°F (200°C); line a baking sheet with parchment.
2. Whisk 2 eggs with 1 Tbsp water in a shallow bowl.
3. In another bowl, mix 1 cup panko, ¼ cup grated Parmesan, 1 tsp garlic powder, and salt to taste.
4. Dip 1 lb chicken strips in egg wash, then coat evenly in breadcrumb mixture.
5. Place on sheet, spray lightly with oil, and bake 20 minutes, flipping halfway, until golden and crispy.","Coat chicken strips in egg and garlic-Parmesan panko, bake at 400°F for 20 minutes flipping once, until golden and crisp. Serve immediately."
img6.jpg,garlic monster,"1. Preheat oven to 350°F (175°C).
2. In a bowl, combine ½ cup softened butter, 4 cloves minced garlic, and 2 Tbsp chopped parsley.
3. Slice a baguette lengthwise, spread garlic butter generously on cut sides.
4. Wrap in foil and bake 15 minutes, then unwrap and bake 5 minutes more until edges crisp.
5. Slice into pieces and serve warm.","Spread garlic-parsley butter on baguette halves, wrap in foil, bake at 350°F for 15 minutes, then unwrap for 5 more until crisp. Serve warm."
img7.jpg,tomatoey mush,"1. Melt 2 Tbsp butter in a pot over medium; sauté 1 chopped onion and 2 min of 3 cloves minced garlic until soft.
2. Add 2 cans (28 oz each) crushed tomatoes, 2 cups chicken or vegetable broth, 1 tsp sugar, and a handful of basil leaves; bring to a boil.
3. Reduce heat and simmer 15 minutes, then stir in ½ cup heavy cream and heat through.
4. Use an immersion blender to puree until smooth, season with salt and pepper, and serve hot garnished with basil.","Sauté onion and garlic in butter, add tomatoes, broth, sugar & basil, simmer 15 minutes. Stir in cream, puree until smooth, season, and serve hot."
img8.jpg,egg bowl,"1. Crack 6 eggs into a bowl with 2 Tbsp milk, salt, and pepper; whisk until just blended.
2. Heat 1 Tbsp butter in a nonstick skillet over low heat, swirl to coat.
3. Pour in egg mixture, let sit undisturbed 20 seconds, then gently stir with a spatula.
4. Continue cooking and folding for 2–3 minutes until soft curds form; remove from heat slightly underdone.
5. Transfer to a bowl, garnish with chives or cheese, and serve immediately.","Whisk eggs with milk, season, and cook gently in butter over low heat, stirring to form soft curds. Remove just before set, garnish, and serve hot."
img9.jpg,creamy dream,"1. Cook 8 oz fettuccine in salted water until al dente; reserve ¼ cup pasta water and drain.
2. In the same pot over low heat, melt 4 Tbsp butter with 2 cloves minced garlic for 1 minute.
3. Stir in 1 cup heavy cream and simmer 2 minutes until slightly thickened.
4. Remove from heat, add 1 cup grated Parmesan, stirring until melted and smooth; thin with reserved water as needed.
5. Toss pasta into sauce, season with salt & pepper, and serve garnished with parsley.","Melt butter and garlic, add cream and simmer, then stir in Parmesan off heat to make sauce. Toss with pasta, thin if needed, season, and serve garnished."
img10.jpg,herby pesto wonder,"1. In a food processor, blend 2 cups fresh basil leaves, ⅓ cup pine nuts, 2 cloves garlic, and ½ cup Parmesan until finely chopped.
2. With machine running, slowly drizzle in ½ cup olive oil until smooth.
3. Season with salt & pepper to taste.
4. Toss 12 oz cooked pasta with pesto; add a splash of pasta water for creaminess.
5. Serve immediately, garnished with extra cheese and basil.","Blend basil, nuts, garlic & cheese, drizzle in oil, and season. Toss with pasta and a splash of pasta water, garnish, and serve."
img11.jpg,veggie medley delight,"1. Heat 2 Tbsp vegetable oil in a wok over high heat; add 1 tsp minced garlic and 1 tsp grated ginger, stir 30 seconds.
2. Add 4 cups mixed veggies (bell peppers, carrots, broccoli, snap peas); stir-fry 5 minutes until crisp-tender.
3. Whisk 2 Tbsp soy sauce, 1 Tbsp oyster sauce, and 1 tsp sesame oil; pour over veggies and cook 2 minutes more.
4. Remove from heat and serve immediately over steamed rice or noodles.","Stir-fry garlic and ginger, add mixed vegetables and cook until crisp-tender. Pour in soy-oyster sauce mixture, cook 2 minutes, and serve over rice."
img12.jpg,berry fluff,"1. In a trifle dish, layer 2 cups cubed pound cake, 2 cups mixed berries, and 1 cup whipped cream.
2. Repeat layers until dish is filled, ending with whipped cream.
3. Top with extra berries and chill at least 1 hour before serving.
4. Optionally drizzle with berry syrup or sprinkle with mint for garnish.","Layer cake cubes, berries & whipped cream in a dish; repeat layers, top with berries, and chill for 1 hour before serving."
